Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
CLS,0.0613,0.34159999999999996,-0.0078000000000000005,0.40909999999999996,1.2464,0.28190000000000004,0.021099999999999997,0.0351,1.27,4830000.0,0.84,118.32,0.037599999999999995,4063161.0
DAN,0.0068000000000000005,0.34159999999999996,0.029900000000000003,1.025,0.15,0.3997,0.022799999999999997,0.0246,1.89,1790000.0,1.21,16.18,0.027999999999999997,2165280.0
WGMI,0.0929,0.34049999999999997,-0.1174,-0.2915,0.08380000000000001,-0.1839,0.0151,0.0359,,807720.0,0.84,18.11,0.0203,675888.0
DTI,0.05,0.3404,-0.1656,-0.2717,-0.561,-0.22940000000000002,0.025699999999999997,0.044800000000000006,2.0,77620.0,0.66,2.52,0.008,51525.0
FEDU,0.1932,0.3404,-0.0159,-0.1483,0.2334,-0.05,0.0342,0.026000000000000002,5.0,8210.0,0.07,9.88,-0.0,557.0
EXTR,-0.030600000000000002,0.34009999999999996,0.0407,0.0333,0.3632,-0.0538,0.009300000000000001,0.0206,1.86,1410000.0,0.71,15.84,-0.0038,1004569.0
UCL,0.046900000000000004,0.34,0.07200000000000001,0.1167,-0.13849999999999998,-0.3619,0.022000000000000002,0.0552,1.0,45500.0,2.96,1.34,0.0152,134478.0
CCLD,0.009899999999999999,0.33990000000000004,-0.42579999999999996,-0.2652,-0.2652,-0.4399,0.029500000000000002,0.0654,2.0,1090000.0,0.2,2.05,0.009899999999999999,214147.0
ONON,-0.023700000000000002,0.3389,0.2143,0.1424,0.5334,0.0739,0.0044,0.028999999999999998,1.36,5890000.0,0.66,58.82,-0.0054,3884050.0
CCEC,0.0492,0.3387,0.2958,0.2516,0.43170000000000003,0.2789,0.0173,0.0335,1.83,21620.0,0.4,23.48,0.0103,8607.0
CSTM,-0.0215,0.3386,0.1333,0.0103,-0.45,0.1509,0.0286,0.0316,1.0,1770000.0,0.6,11.82,-0.0231,1058410.0
PAHC,-0.034,0.33840000000000003,0.0231,-0.0452,0.26280000000000003,0.0962,0.0179,0.0414,3.75,263700.0,0.7,23.02,-0.009899999999999999,185154.0
BNKU,-0.0833,0.3379,-0.2225,,,-0.26530000000000004,0.0407,0.0368,,27180.0,0.3,17.05,0.0113,8141.0
FROG,-0.009300000000000001,0.3378,0.11,0.4181,0.289,0.4543,0.0184,0.027200000000000002,1.48,973440.0,0.75,42.77,0.0038,734019.0
TMDX,0.0126,0.337,0.7142000000000001,0.524,-0.11019999999999999,0.9782,0.022000000000000002,0.0454,1.7,1200000.0,0.62,123.34,0.0167,748898.0
MOGO,0.0859,0.33649999999999997,0.214,-0.0381,-0.18710000000000002,0.022099999999999998,0.0326,0.1217,1.5,2330000.0,0.22,1.39,0.053,522433.0
CVI,-0.019299999999999998,0.3361,0.174,0.2521,-0.1893,0.2748,0.051100000000000007,0.0292,3.86,1090000.0,1.15,23.89,0.0732,1257780.0
OPRT,-0.0751,0.3361,-0.1888,1.0126,0.7978000000000001,0.6495000000000001,0.0383,0.0431,2.0,466960.0,0.44,6.4,-0.0108,204104.0
VRT,-0.011200000000000002,0.33590000000000003,0.0855,-0.153,0.049100000000000005,-0.0828,0.0149,0.030699999999999998,1.46,10960000.0,0.35,104.2,0.005699999999999999,3781812.0
MIRA,-0.1338,0.33549999999999996,0.1182,-0.1277,0.4471,0.0789,0.0538,0.0525,3.0,1310000.0,0.16,1.23,0.0165,203868.0
BRIA,0.0239,0.33490000000000003,-0.163,,,-0.3308,0.023799999999999998,0.053099999999999994,,24780.0,0.39,2.55,0.0236,9553.0
SSSS,0.0678,0.3348,0.037200000000000004,0.2329,0.47600000000000003,0.044199999999999996,0.0304,0.0292,1.5,193620.0,0.92,6.14,-0.0176,178950.0
SE,-0.0239,0.33409999999999995,0.2591,0.4792,1.1976,0.5145000000000001,0.0105,0.0269,1.6,5510000.0,0.55,160.69,-0.015700000000000002,3032513.0
DBRG,-0.08109999999999999,0.3337,-0.1061,-0.13390000000000002,-0.196,-0.0363,0.0123,0.055,1.2,3120000.0,0.77,10.87,-0.0091,2412302.0
ROM,-0.0435,0.33340000000000003,-0.1001,-0.07980000000000001,-0.0055000000000000005,-0.09720000000000001,0.0176,0.026000000000000002,,88060.0,0.73,62.95,0.0002,64549.0
BMBL,0.0052,0.3333,0.1209,-0.2645,-0.5217,-0.2826,0.0175,0.057999999999999996,2.68,3580000.0,0.57,5.84,0.0264,2030719.0
SKYT,0.11900000000000001,0.3333,-0.0579,0.15439999999999998,0.0883,-0.33909999999999996,0.0504,0.0417,1.4,658340.0,1.72,9.12,0.042300000000000004,1133300.0
SPWH,0.0928,0.3333,0.2544,-0.0823,-0.3556,-0.20600000000000002,0.047,0.041299999999999996,1.4,2470000.0,0.2,2.12,0.0816,482332.0
MQ,0.04,0.3333,0.4092,0.3333,-0.059699999999999996,0.37200000000000005,0.0208,0.0311,2.19,8340000.0,1.43,5.2,-0.0019,11914281.0
SHAK,0.0017000000000000001,0.33299999999999996,0.0788,0.0069,0.1777,-0.0964,0.0235,0.024700000000000003,2.16,1540000.0,0.81,117.29,0.0278,1244888.0
SIBN,-0.024399999999999998,0.3329,0.0325,0.4903,0.2792,0.31379999999999997,0.022400000000000003,0.041100000000000005,1.0,464220.0,0.62,18.42,-0.0366,288709.0
THC,-0.0165,0.3328,0.24480000000000002,0.051399999999999994,0.23190000000000002,0.2781,0.0212,0.0291,1.58,1650000.0,0.52,161.33,-0.0092,857987.0
CTGO,0.19,0.3321,0.8270000000000001,-0.0294,-0.18600000000000003,0.7814,0.038,0.0518,1.0,129169.99999999999,0.91,17.85,0.04019999999999999,117903.0
DHC,-0.009899999999999999,0.3319,0.2137,0.18969999999999998,0.2809,0.30870000000000003,0.0369,0.0652,3.0,875580.0,1.0,3.01,-0.0414,872979.0
BITQ,0.09179999999999999,0.33130000000000004,0.0604,-0.0908,0.43829999999999997,0.049100000000000005,0.026699999999999998,0.0276,,157900.0,1.47,17.72,-0.0232,232807.0
PEVC,-0.0103,0.33020000000000005,-0.0329,,,-0.0258,0.0086,0.0291,,820.0,20.31,24.59,0.0011,16673.0
TWLO,0.0144,0.33,0.0137,0.20190000000000002,0.9025,0.0722,0.0178,0.0174,1.83,2700000.0,0.69,115.88,0.0116,1865410.0
TEX,-0.0226,0.3299,0.0616,-0.12300000000000001,-0.26,-0.008199999999999999,0.0304,0.0347,2.71,1140000.0,0.65,45.84,0.0059,741036.0
AGEN,0.1213,0.3298,0.1416,0.4411,-0.6457999999999999,0.3832,0.0552,0.0666,2.6,660510.0,0.95,3.79,0.0355,627908.0
INDI,-0.1295,0.3297,-0.2903,-0.4083,-0.6201,-0.4025,0.0526,0.04650000000000001,1.0,3810000.0,0.53,2.42,0.0431,2035683.0
OOTO,-0.08199999999999999,0.3295,-0.27899999999999997,-0.2134,-0.0013,-0.2182,0.0501,0.0358,,6720.0,5.34,14.89,-0.0021,35898.0
COHR,0.0008,0.3293,-0.0455,-0.1727,0.3394,-0.1673,0.0075,0.028999999999999998,1.43,4099999.9999999995,0.54,78.88,-0.0085,2221305.0
